name,price,Brand,link,
"President  G10  Octa Core  5\  16 GB HDD  1 GB RAM  8 MP Camera  Space Grey (Brand Warranty)""",†10269,Gfive†,https://www.daraz.pk/gfive-president-g10-octa-core-5-16-gb-hdd-1-gb-ram-8-mp-camera-space-grey-brand-warranty-5423098.html,
"Rhythm RX80  4.7\  8GB HDD  1GB RAM  8MP Camera  White (Brand Warranty)""",†8450,RIVO†,https://www.daraz.pk/rhythm-rx80-4.7-8gb-hdd-1gb-ram-8mp-camera-white-brand-warranty-rivo-mpg33662.html,
Ascend Y221 Dual Core  4 GB  3G  Black,†8215,Huawei†,https://www.daraz.pk/huawei-ascend-y221-dual-core-4-gb-3g-black-5423154.html,
"Power 1000  Power Bank  2.8\  Smart Camera  BlackGold (Brand Warranty)""",†3449,QMobile†,https://www.daraz.pk/qmobile-power-1000-power-bank-2.8-smart-camera-black-gold-brand-warranty-5423113.html,
Max2  5.0''  16 GB  1 GB RAM  1.3 GHz Quad Core  13 MP Camera  Android v5.1  Gold (Brand Warranty),†11300,Innjoo†,https://www.daraz.pk/innjoo-max2-5.0-16-gb-1-gb-ram-1.3-ghz-quad-core-13-mp-camera-android-v5.1-gold-brand-warranty-5409179.html,
Max2  5.0''  16 GB  1 GB RAM  1.3 GHz Quad Core  13 MP Camera  Android v5.1  Grey (Brand Warranty),†11300,Innjoo†,https://www.daraz.pk/innjoo-max2-5.0-16-gb-1-gb-ram-1.3-ghz-quad-core-13-mp-camera-android-v5.1-grey-brand-warranty-5409177.html,
Fire Plus 3G  5.5''  16 GB  2 GB RAM  Octa Core 1.4 GHz CPU  13 MP Camera  Android V4.4  Gold (Brand Warranty),†14600,Innjoo†,https://www.daraz.pk/innjoo-fire-plus-3g-5.5-16-gb-2-gb-ram-octa-core-1.4-ghz-cpu-13-mp-camera-android-v4.4-gold-brand-warranty-5409182.html,
Halo  3G  5.0''  8 GB  1 GB RAM  Quad Core 1.2 GHz CPU  5 MP Camera  Android v5.1  Gold (Brand Warranty),†7900,Innjoo†,https://www.daraz.pk/innjoo-halo-3g-5.0-8-gb-1-gb-ram-quad-core-1.2-ghz-cpu-5-mp-camera-android-v5.1-gold-brand-warranty-5409184.html,
Halo  3G  5.0''  8 GB  1 GB RAM  Quad Core 1.2 GHz CPU  5 MP Camera  Android v5.1  Black (Brand Warranty),†7900,Innjoo†,https://www.daraz.pk/innjoo-halo-3g-5.0-8-gb-1-gb-ram-quad-core-1.2-ghz-cpu-5-mp-camera-android-v5.1-black-brand-warranty-5409185.html,
Honor 3C Lite  5.0√É¬¢√¢‚Äö¬¨√Ç¬ù  8 GB  1 GB RAM  8 MP  3G  White,†14500,Huawei†,https://www.daraz.pk/huawei-honor-3c-lite-5.0faasaa-8-gb-1-gb-ram-8-mp-3g-white-4224004.html,
Max2  5.0''  16 GB  1 GB RAM  1.3 GHz Quad Core  13 MP Camera  Android v5.1  White (Brand Warranty),†11300,Innjoo†,https://www.daraz.pk/innjoo-max2-5.0-16-gb-1-gb-ram-1.3-ghz-quad-core-13-mp-camera-android-v5.1-white-brand-warranty-5409178.html,
Lumia 925  4.5  16 GB  1 GB RAM  1.5 GHz Dualcore  8 MP Camera  Gray,†28000,Microsoft†,https://www.daraz.pk/microsoft-lumia-925-4.5-16-gb-1-gb-ram-1.5-ghz-dual-core-8-mp-camera-gray-5245910.html,
Honor 3C (H30L02) 4G LTE  White,†25000,Huawei†,https://www.daraz.pk/huawei-honor-3c-h30-l02-4g-lte-white-4223991.html,
